mc,nazwa,ulica
0,BISKUPIN,pętla
1,Spółdzielcza,Olszewskiego
1,Piramowicza,Olszewskiego
1,Chełmońskiego,Olszewskiego
1,Tramwajowa,Wróblewskiego
1,ZOO,Wróblewskiego
1,Hala Stulecia,Wróblewskiego
2,Kliniki,Skłodowskiej-Curie
2,PL. GRUNWALDZKI,Skłodowskiej-Curie
2,Piastowska,Piastowska
2,Prusa,Nowowiejska
2,Wyszyńskiego,Nowowiejska
2,Nowowiejska,Jedności Narodowej
2,Słowiańska,Słowiańska
2,DWORZEC NADODRZE,pl. Powstańców Wielkopolskich
0,DWORZEC NADODRZE,pl. Powstańców Wielkopolskich
2,Trzebnicka,Trzebnicka
3,Broniewskiego,Żmigrodzka
2,Kamieńskiego,Żmigrodzka
1,Kępińska,Żmigrodzka
1,Wołowska,Żmigrodzka
0,POŚWIĘTNE,pętla
